NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+0+29,22806900024414+[0;0;0;0]+0+8+1800+1+20
4+4762+196,17990299987792+[0,658;0,664;0,668;0,654]+0,661+8+1800+1+5244
4+4772+208,07213199996949+[0,66;0,666;0,67;0,656]+0,663+8+1800+1+5284
4+4786+197,67504999923705+[0,662;0,668;0,671;0,657]+0,6645000000000001+8+1800+1+5304
4+4804+211,06441200256347+[0,663;0,672;0,674;0,66]+0,66725+8+1800+1+5324
4+4814+299,2157889976501+[0,666;0,673;0,676;0,661]+0,669+8+1800+1+5366
4+4826+472,5374330024719+[0,667;0,674;0,678;0,662]+0,67025+8+1800+1+5386
4+4837+209,18132499694823+[0,667;0,675;0,681;0,664]+0,6717500000000001+8+1800+1+5408
4+4853+201,92953200149537+[0,67;0,677;0,683;0,667]+0,67425+8+1800+1+5450
4+4870+206,51999700164794+[0,673;0,679;0,683;0,669]+0,676+8+1800+1+5470
4+4881+204,2899869995117+[0,674;0,682;0,684;0,672]+0,678+8+1800+1+5491
4+4898+209,73796199798585+[0,677;0,686;0,686;0,673]+0,6805+8+1800+1+5512
4+4906+228,15251900100708+[0,678;0,686;0,689;0,673]+0,6815+8+1800+1+5552
4+4924+444,5891430015564+[0,681;0,688;0,693;0,674]+0,6839999999999999+8+1800+1+5573
4+4938+466,343686000824+[0,681;0,689;0,694;0,679]+0,6857500000000001+8+1800+1+5594
4+4957+223,77655699920655+[0,684;0,692;0,696;0,683]+0,68875+8+1800+1+5636
4+4971+247,23026899719238+[0,686;0,693;0,697;0,685]+0,69025+8+1800+1+5656
4+4986+414,3800890007019+[0,689;0,695;0,699;0,687]+0,6924999999999999+8+1800+1+5679
4+4997+229,6011490020752+[0,692;0,696;0,701;0,688]+0,69425+8+1800+1+5700
4+5011+225,87766900253297+[0,693;0,699;0,702;0,689]+0,69575+8+1800+1+5742
4+5027+237,60889599990844+[0,696;0,702;0,703;0,692]+0,69825+8+1800+1+5762
4+5044+217,74218199920654+[0,698;0,704;0,706;0,694]+0,7004999999999999+8+1800+1+5783
4+5055+229,17875900268555+[0,699;0,706;0,709;0,695]+0,7022499999999999+8+1800+1+5824
4+5068+228,74498600006103+[0,7;0,707;0,711;0,698]+0,704+8+1800+1+5846
4+5084+239,71500200271606+[0,701;0,709;0,714;0,7]+0,706+8+1800+1+5868
4+5091+230,31994300079344+[0,702;0,709;0,715;0,703]+0,7072499999999999+8+1800+1+5890
4+5101+217,2610900001526+[0,702;0,71;0,717;0,706]+0,70875+8+1800+1+5931
4+5109+235,11820000076293+[0,702;0,711;0,718;0,708]+0,7097499999999999+8+1800+1+5951
4+5115+225,63015999984742+[0,702;0,711;0,719;0,709]+0,7102499999999999+8+1800+1+5972
