NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+5959+62,53070799255371+[0,859;0,842;0,82;0,789]+0,8275+4,656970277777782+8+1800+1+2580+1604852057036+1604850257036
4+6087+65,311375+[0,881;0,854;0,841;0,806]+0,8454999999999999+4,636121944444446+8+1800+1+2600+1604852065036+1604850265036
4+6179+65,18579699707031+[0,892;0,869;0,854;0,818]+0,8582500000000001+4,6982333333333335+8+1800+1+2640+1604852073036+1604850273036
4+6314+59,63187300109863+[0,908;0,894;0,868;0,837]+0,8767499999999999+4,902500000000001+8+1800+1+2660+1604852081036+1604850281036
4+6430+66,0153569946289+[0,926;0,908;0,885;0,853]+0,893+4,881244999999999+8+1800+1+2680+1604852089036+1604850289036
4+6541+71,7800530090332+[0,944;0,919;0,908;0,863]+0,9085+4,64493305555555+8+1800+1+2720+1604852097036+1604850297036
4+6669+69,06632499694824+[0,961;0,938;0,927;0,879]+0,92625+4,628291388888888+8+1800+1+2740+1604852105036+1604850305036
4+6798+69,2212919921875+[0,98;0,957;0,937;0,903]+0,9442499999999999+4,722495555555553+8+1800+1+2760+1604852113036+1604850313036
4+6936+68,84728199768067+[0,998;0,98;0,952;0,924]+0,9634999999999999+4,709301944444444+8+1800+1+2800+1604852121036+1604850321036
4+7050+73,66061900329589+[1,012;0,993;0,969;0,942]+0,9789999999999999+4,7850577777777765+8+1800+1+2820+1604852129036+1604850329036
4+7181+70,3157319946289+[1,028;1,015;0,988;0,959]+0,9975+4,701849444444445+8+1800+1+2840+1604852137036+1604850337036
4+7287+69,65267399597168+[1,041;1,033;1,003;0,971]+1,012+4,743637777777781+8+1800+1+2880+1604852145036+1604850345036
4+7420+74,73896899414062+[1,059;1,05;1,02;0,993]+1,0305+4,7630413888888885+8+1800+1+2900+1604852153036+1604850353036
4+7547+73,43954600524903+[1,079;1,063;1,042;1,009]+1,04825+4,652877222222223+8+1800+1+2920+1604852161036+1604850361036
4+7652+77,87376998901367+[1,095;1,076;1,058;1,022]+1,06275+4,698983611111113+8+1800+1+2940+1604852169036+1604850369036
4+7793+69,60326899719239+[1,112;1,102;1,072;1,043]+1,0822500000000002+4,808786944444443+8+1800+1+2981+1604852177036+1604850377036
4+7926+72,35136799621581+[1,131;1,124;1,089;1,059]+1,10075+4,806943333333336+8+1800+1+3001+1604852185036+1604850385036
4+8041+71,33686700439453+[1,144;1,138;1,108;1,077]+1,1167500000000001+4,822406111111114+8+1800+1+3021+1604852193036+1604850393036
4+8180+73,2236259918213+[1,163;1,158;1,131;1,093]+1,13625+4,640391388888889+8+1800+1+3061+1604852201036+1604850401036
4+8309+68,72983399963378+[1,178;1,173;1,148;1,116]+1,15375+4,542394166666669+8+1800+1+3081+1604852209036+1604850409036
