NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+7034+73,03077000427245+[0,805;0,794;0,775;0,752]+0,7815000000000001+4,797791388888886+8+2250+1+2820+1604856810007+1604854560007
4+7162+65,56515399169922+[0,817;0,809;0,791;0,766]+0,79575+4,710060555555558+8+2250+1+2840+1604856818007+1604854568007
4+7268+70,32692900085449+[0,828;0,824;0,802;0,776]+0,8074999999999999+4,720842222222228+8+2250+1+2880+1604856826007+1604854576007
4+7407+66,64095401000976+[0,674;0,671;0,654;0,635]+0,6585000000000001+4,749799166666664+8+2812,5+1+2900+1604856834007+1604854021507
4+7531+65,77425399780273+[0,687;0,68;0,667;0,644]+0,6695+4,657432777777779+8+2812,5+1+2920+1604856842007+1604854029507
4+7638+74,91653199768066+[0,697;0,688;0,677;0,654]+0,6789999999999999+4,699533611111109+8+2812,5+1+2940+1604856850007+1604854037507
4+7773+77,74563899230957+[0,708;0,704;0,686;0,666]+0,691+4,82798138888889+8+2812,5+1+2981+1604856858007+1604854045507
4+7904+70,05487100219726+[0,72;0,718;0,697;0,676]+0,70275+4,812862777777778+8+2812,5+1+3001+1604856866007+1604854053507
4+8018+76,98820100402833+[0,729;0,727;0,71;0,685]+0,71275+4,829123333333337+8+2812,5+1+3021+1604856874007+1604854061507
4+8155+83,54705000305175+[0,741;0,739;0,724;0,696]+0,7249999999999999+4,64230888888889+8+2812,5+1+3061+1604856882007+1604854069507
4+8290+69,58311399841308+[0,751;0,75;0,735;0,712]+0,7369999999999999+4,501667777777778+8+2812,5+1+3084+1604856890007+1604854077507
4+8430+72,27637100219727+[0,762;0,762;0,748;0,725]+0,7492500000000001+4,60962638888889+8+2812,5+1+3104+1604856898007+1604854085507
4+8552+68,6324819946289+[0,773;0,771;0,759;0,737]+0,76+4,672277222222222+8+2812,5+1+3144+1604856906007+1604854093507
4+8677+71,92119699096679+[0,785;0,781;0,771;0,748]+0,77125+4,5945197222222225+8+2812,5+1+3165+1604856914007+1604854101507
4+8811+74,99543200683594+[0,797;0,797;0,78;0,759]+0,78325+4,673505277777774+8+2812,5+1+3185+1604856922007+1604854109507
4+8933+76,35004600524903+[0,808;0,807;0,79;0,77]+0,7937500000000001+4,831019722222222+8+2812,5+1+3225+1604856930007+1604854117507
4+9054+87,3218569946289+[0,82;0,818;0,802;0,779]+0,80475+4,655936944444442+8+2812,5+1+3245+1604856938007+1604854125507
4+9176+80,8384880065918+[0,828;0,83;0,816;0,788]+0,8154999999999999+4,701200277777778+8+2812,5+1+3265+1604856946007+1604854133507
4+9306+77,21853700256348+[0,841;0,839;0,828;0,801]+0,82725+4,637979166666662+8+2812,5+1+3305+1604856954007+1604854141507
4+9426+78,12035499572754+[0,854;0,848;0,838;0,811]+0,83775+4,5970480555555495+8+2812,5+1+3325+1604856962007+1604854149507
4+9558+74,43880700683594+[0,864;0,86;0,848;0,825]+0,8492500000000001+4,637954999999994+8+2812,5+1+3348+1604856970007+1604854157507
4+9660+79,07681999206542+[0,874;0,869;0,857;0,834]+0,8584999999999999+4,697760555555547+8+2812,5+1+3368+1604856978007+1604854165507
4+9796+79,50656100463867+[0,887;0,882;0,871;0,844]+0,871+4,636710555555552+8+2812,5+1+3408+1604856986007+1604854173507
4+9921+79,50157099914551+[0,898;0,891;0,884;0,854]+0,88175+4,5538836111111065+8+2812,5+1+3428+1604856994007+1604854181507
4+10043+81,16202600097657+[0,91;0,901;0,894;0,866]+0,89275+4,537122222222219+8+2812,5+1+3448+1604857002007+1604854189507
4+10147+89,0533869934082+[0,919;0,909;0,903;0,877]+0,9019999999999999+4,573892500000002+8+2812,5+1+3488+1604857010007+1604854197507
4+10282+85,21424398803711+[0,932;0,922;0,917;0,886]+0,91425+4,621762222222221+8+2812,5+1+3508+1604857018007+1604854205507
4+10423+85,24680700683594+[0,944;0,934;0,93;0,898]+0,9265000000000001+4,6955866666666655+8+2812,5+1+3528+1604857026007+1604854213507
4+10523+84,00865100097656+[0,953;0,948;0,935;0,906]+0,9355+4,708741388888891+8+2812,5+1+3568+1604857034007+1604854221507
4+10658+77,47497200012207+[0,966;0,958;0,948;0,918]+0,9475+4,757161388888891+8+2812,5+1+3588+1604857042007+1604854229507
4+10781+76,33562699890136+[0,978;0,967;0,96;0,928]+0,9582499999999999+4,753261944444444+8+2812,5+1+3609+1604857050007+1604854237507
4+10897+84,26075300598144+[0,988;0,98;0,97;0,936]+0,9684999999999999+4,726528055555555+8+2812,5+1+3649+1604857058007+1604854245507
4+11030+82,95506201171875+[1;0,994;0,977;0,951]+0,9805+4,806442777777778+8+2812,5+1+3669+1604857066007+1604854253507
4+11170+82,6605+[1,013;1,008;0,991;0,96]+0,993+4,832273888888887+8+2812,5+1+3691+1604857074007+1604854261507
4+11279+92,64594898986816+[1,024;1,016;1,001;0,969]+1,0025+4,800834722222227+8+2812,5+1+3731+1604857082007+1604854269507
4+11419+78,93201200866699+[1,038;1,027;1,013;0,982]+1,015+4,555920833333337+8+2812,5+1+3751+1604857090007+1604854277507
4+11558+84,49748599243163+[1,048;1,041;1,028;0,992]+1,02725+4,278377777777778+8+2812,5+1+3771+1604857098007+1604854285507
4+11665+89,50267401123047+[1,058;1,05;1,037;1,003]+1,037+3,6746536111111108+8+2812,5+1+3811+1604857106007+1604854293507
4+11803+85,02378399658203+[1,07;1,061;1,049;1,017]+1,04925+3,3956802777777755+8+2812,5+1+3831+1604857114007+1604854301507
4+11921+84,76544801330566+[1,077;1,073;1,059;1,029]+1,0594999999999999+3,2174677777777796+8+2812,5+1+3851+1604857122007+1604854309507
4+12022+85,39762699890137+[1,081;1,083;1,072;1,039]+1,0687499999999999+2,7530844444444433+8+2812,5+1+3891+1604857130007+1604854317507
4+12123+87,73247698974609+[1,086;1,092;1,084;1,048]+1,0775000000000001+2,462798333333333+8+2812,5+1+3911+1604857138007+1604854325507
4+12221+88,33681500244141+[1,09;1,098;1,098;1,06]+1,0865+2,187910833333333+8+2812,5+1+3931+1604857146007+1604854333507
4+12287+97,12348999023438+[1,093;1,101;1,104;1,072]+1,0925+1,9574050000000012+8+2812,5+1+3971+1604857154007+1604854341507
4+12377+94,61837800598144+[1,098;1,107;1,112;1,083]+1,1+1,777028611111112+8+2812,5+1+3991+1604857162007+1604854349507
4+12442+98,25271199035645+[1,101;1,111;1,12;1,092]+1,1059999999999999+1,7051966666666671+8+2812,5+1+4011+1604857170007+1604854357507
4+12484+91,84871800231933+[1,103;1,115;1,122;1,098]+1,1095+1,6245599999999996+8+2812,5+1+4051+1604857178007+1604854365507
4+12532+101,0021730041504+[1,106;1,12;1,126;1,104]+1,1139999999999999+1,597706666666666+8+2812,5+1+4071+1604857186007+1604854373507
4+12589+93,88426699829101+[1,111;1,122;1,131;1,112]+1,119+1,565746111111111+8+2812,5+1+4091+1604857194007+1604854381507
4+12629+99,41446299743653+[1,487;1,5;1,513;1,488]+1,4969999999999999+1,4527736111111116+8+2109+1+4131+1604857202007+1604855093007
4+12668+94,09704299926757+[1,492;1,505;1,518;1,492]+1,50175+1,5335474999999996+8+2109+1+4151+1604857210007+1604855101007
4+12713+96,98671000671386+[1,495;1,511;1,521;1,501]+1,5070000000000001+1,5475841666666663+8+2109+1+4171+1604857218007+1604855109007
4+12750+92,17155200195313+[1,5;1,515;1,527;1,504]+1,5114999999999998+1,451558888888889+8+2109+1+4211+1604857226007+1604855117007
4+12789+96,57454499816895+[1,504;1,521;1,531;1,508]+1,516+1,5236144444444442+8+2109+1+4231+1604857234007+1604855125007
4+12828+95,52222300720214+[1,508;1,526;1,536;1,513]+1,52075+1,5668269444444443+8+2109+1+4251+1604857242007+1604855133007
4+12865+93,79628399658203+[1,513;1,53;1,541;1,516]+1,525+1,5594913888888882+8+2109+1+4291+1604857250007+1604855141007
4+12899+94,95694499206543+[1,517;1,533;1,547;1,519]+1,529+1,5668669444444459+8+2109+1+4311+1604857258007+1604855149007
4+12956+101,00397900390625+[1,525;1,541;1,551;1,526]+1,53575+1,605437222222222+8+2109+1+4331+1604857266007+1604855157007
4+12985+93,84468800354004+[2,038;2,06;2,073;2,039]+2,0524999999999998+1,5628541666666662+8+1581,75+1+4371+1604857274007+1604855692257
4+13025+96,75999200439453+[2,046;2,065;2,079;2,045]+2,05875+1,6226624999999983+8+1581,75+1+4391+1604857282007+1604855700257
4+13081+97,68478500366211+[2,052;2,074;2,091;2,054]+2,0677499999999998+1,6380391666666674+8+1581,75+1+4412+1604857290007+1604855708257
4+13107+96,15292599487304+[2,054;2,081;2,095;2,057]+2,07175+1,5985824999999994+8+1581,75+1+4433+1604857298007+1604855716257
4+12367+86,544625+[2,592;2,61;2,631;2,596]+2,60725+1,467153888888888+8+1185,75+1+3976+1604857306007+1604856120257
4+12377+92,44786900329589+[2,593;2,609;2,636;2,599]+2,6092500000000003+1,4981799999999994+8+1185,75+1+3976+1604857314007+1604856128257
4+12371+88,2460709991455+[2,59;2,608;2,641;2,594]+2,60825+1,5137669444444442+8+1185,75+1+3976+1604857322007+1604856136257
4+12369+94,45954400634766+[2,589;2,609;2,635;2,598]+2,6077500000000002+1,5086066666666669+8+1185,75+1+3976+1604857330007+1604856144257
4+12380+94,9932200012207+[2,594;2,614;2,633;2,599]+2,6100000000000003+1,599722222222222+8+1185,75+1+3976+1604857338007+1604856152257
4+12388+89,17822000122071+[2,596;2,616;2,634;2,602]+2,612+1,6462230555555555+8+1185,75+1+3976+1604857346007+1604856160257
4+12367+93,6803509979248+[2,592;2,614;2,631;2,592]+2,60725+1,7249602777777784+8+1185,75+1+3976+1604857354007+1604856168257
4+12387+96,58236599731445+[2,592;2,62;2,637;2,597]+2,6115+1,7003052777777767+8+1185,75+1+3977+1604857362007+1604856176257
4+12387+88,40072900390625+[2,596;2,624;2,632;2,595]+2,6117500000000002+1,629351666666666+8+1185,75+1+3980+1604857370007+1604856184257
4+12386+92,78186599731445+[2,593;2,62;2,633;2,599]+2,61125+1,5762766666666672+8+1185,75+1+3980+1604857378007+1604856192257
4+10833+71,08539399719238+[3,035;3,067;3,063;3,024]+3,04725+1,6239444444444449+8+888,75+1+2992+1604857386007+1604856497257
4+10846+69,79427799987793+[3,031;3,069;3,068;3,035]+3,05075+1,590200555555556+8+888,75+1+2992+1604857394007+1604856505257
4+10851+68,7317440032959+[3,033;3,08;3,066;3,03]+3,0522499999999995+1,529798611111111+8+888,75+1+2992+1604857402007+1604856513257
4+10827+73,82596800231934+[3,018;3,074;3,06;3,03]+3,0454999999999997+1,5715999999999992+8+888,75+1+2992+1604857410007+1604856521257
4+10821+74,58694700622559+[2,994;3,078;3,064;3,039]+3,0437499999999997+1,5432019444444443+8+888,75+1+2992+1604857418007+1604856529257
4+10801+78,63394599914551+[2,979;3,069;3,063;3,041]+3,0380000000000003+1,5723599999999993+8+888,75+1+2992+1604857426007+1604856537257
4+10753+69,67118699645997+[2,949;3,041;3,067;3,041]+3,0245+1,5025461111111107+8+888,75+1+2992+1604857434007+1604856545257
4+10703+77,09493200683593+[2,925;3,028;3,051;3,038]+3,0105+1,5322458333333333+8+888,75+1+2992+1604857442007+1604856553257
4+10663+72,83745799255371+[2,911;3,01;3,033;3,044]+2,9995+1,5854263888888889+8+888,75+1+2992+1604857450007+1604856561257
4+10556+74,10058299255371+[2,87;2,979;3,004;3,023]+2,969+1,5799372222222219+8+888,75+1+2992+1604857458007+1604856569257
4+10503+75,02375999450683+[2,848;2,968;2,993;3,009]+2,9545+1,6498725000000014+8+888,75+1+2992+1604857466007+1604856577257
4+10442+71,4356480102539+[2,837;2,933;2,985;2,994]+2,9372499999999997+1,5833130555555557+8+888,75+1+2992+1604857474007+1604856585257
4+10329+75,63557499694824+[2,806;2,888;2,959;2,968]+2,90525+1,481271388888888+8+888,75+1+2992+1604857482007+1604856593257
4+10266+73,93974198913574+[2,786;2,873;2,933;2,959]+2,88775+1,515280555555556+8+888,75+1+2992+1604857490007+1604856601257
4+10201+69,53191900634765+[2,772;2,855;2,904;2,947]+2,8694999999999995+1,5352613888888889+8+888,75+1+2992+1604857498007+1604856609257
4+10096+74,19344200134277+[2,745;2,819;2,876;2,92]+2,84+1,5367933333333332+8+888,75+1+2992+1604857506007+1604856617257
4+10030+71,49081900024414+[2,718;2,813;2,857;2,897]+2,8212500000000005+1,5582799999999983+8+888,75+1+2992+1604857514007+1604856625257
4+9969+72,25169499206542+[2,7;2,796;2,843;2,877]+2,8040000000000003+1,5793341666666656+8+888,75+1+2992+1604857522007+1604856633257
