NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+0+20,129081000089645+[0;0;0;0]+0+8+1800+1+20
4+1584+66,60985500001907+[1,317;1,28;1,357;1,34]+1,3235+8+299,25+1+1056
4+1580+67,53275899982452+[1,287;1,303;1,367;1,323]+1,3199999999999998+8+299,25+1+1056
4+1567+69,41939900016784+[1,28;1,31;1,333;1,313]+1,309+8+299,25+1+1056
4+1583+57,83378499984741+[1,313;1,303;1,35;1,323]+1,32225+8+299,25+1+1056
4+1586+72,71632499980926+[1,317;1,3;1,38;1,303]+1,325+8+299,25+1+1056
4+1576+59,72714099979401+[1,293;1,31;1,37;1,293]+1,3165+8+299,25+1+1056
4+1581+63,644725999832154+[1,26;1,327;1,383;1,313]+1,3207499999999999+8+299,25+1+1056
4+1564+60,69071200037003+[1,226;1,32;1,35;1,33]+1,3065000000000002+8+299,25+1+1056
4+1544+64,01500799989701+[1,186;1,28;1,36;1,333]+1,2897500000000002+8+299,25+1+1056
4+1499+58,24223099994659+[1,129;1,23;1,353;1,297]+1,2522499999999999+8+299,25+1+1056
