NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+2818+57,13492999267578+[1,207;1,173;1,168;1,148]+1,174+1,6604094444444442+8+600+1,25+1892+1604870500300+1604869900300
4+2823+55,92827299499512+[1,217;1,172;1,168;1,148]+1,17625+1,533451944444444+8+600+1,25+1880+1604870508300+1604869908300
4+2864+56,09425700378418+[1,232;1,185;1,195;1,162]+1,1935+1,4577105555555556+8+600+1,25+1876+1604870516300+1604869916300
4+2884+52,00650199890137+[1,245;1,195;1,198;1,168]+1,2015+1,4817477777777779+8+600+1,25+1872+1604870524300+1604869924300
4+2922+58,98251300048828+[1,258;1,215;1,207;1,19]+1,2174999999999998+1,3867805555555561+8+600+1,25+1864+1604870532300+1604869932300
4+2945+60,11613700866699+[1,275;1,223;1,215;1,195]+1,227+1,3773900000000003+8+600+1,25+1860+1604870540300+1604869940300
4+2967+56,40895599365234+[1,277;1,24;1,227;1,202]+1,2365+1,1994444444444443+8+600+1,25+1856+1604870548300+1604869948300
4+3002+58,181391006469724+[1,282;1,257;1,255;1,21]+1,251+1,140511111111111+8+600+1,25+1852+1604870556300+1604869956300
4+3025+58,92586999511719+[1,282;1,265;1,265;1,23]+1,2605+0,9841666666666665+8+600+1,25+1844+1604870564300+1604869964300
4+3042+54,86361000061035+[1,287;1,263;1,28;1,24]+1,2675+0,8691666666666666+8+600+1,25+1840+1604870572300+1604869972300
4+3053+50,377888000488284+[1,273;1,265;1,295;1,255]+1,2719999999999998+0,7047222222222219+8+600+1,25+1836+1604870580300+1604869980300
4+3048+56,98754600524902+[1,248;1,265;1,298;1,268]+1,26975+0,7138888888888885+8+600+1,25+1832+1604870588300+1604869988300
4+3053+57,11319599914551+[1,242;1,25;1,303;1,293]+1,272+0,6373919444444447+8+600+1,25+1824+1604870596300+1604869996300
4+3045+53,9274940032959+[1,233;1,248;1,298;1,295]+1,2685+0,6252255555555557+8+600+1,25+1820+1604870604300+1604870004300
4+3025+52,36246499633789+[1,217;1,235;1,293;1,297]+1,2605+0,6325655555555558+8+600+1,25+1816+1604870612300+1604870012300
4+3002+54,24243199157715+[1,198;1,222;1,288;1,295]+1,25075+0,6154022222222221+8+600+1,25+1812+1604870620300+1604870020300
4+2968+53,08031098937988+[1,185;1,205;1,282;1,275]+1,23675+0,5238888888888886+8+600+1,25+1800+1604870628300+1604870028300
4+2945+50,38645599365234+[1,173;1,19;1,273;1,272]+1,227+0,5197222222222221+8+600+1,25+1796+1604870636300+1604870036300
4+2915+56,29677099609375+[1,157;1,182;1,253;1,267]+1,21475+0,5036111111111112+8+600+1,25+1792+1604870644300+1604870044300
4+2904+51,85460398864746+[1,15;1,172;1,245;1,273]+1,21+0,5100922222222224+8+600+0,9375+1788+1604870652300+1604870052300
4+2884+53,81579399108887+[1,143;1,157;1,24;1,267]+1,20175+0,46197361111111124+8+600+0,9375+1789+1604870660300+1604870060300
4+2853+58,973934005737306+[1,13;1,152;1,228;1,245]+1,18875+0,4705555555555552+8+600+0,9375+1792+1604870668300+1604870068300
4+2813+52,9543219909668+[1,118;1,138;1,205;1,227]+1,1720000000000002+0,4891666666666667+8+600+0,9375+1796+1604870676300+1604870076300
4+2794+53,164990997314455+[1,105;1,133;1,2;1,218]+1,164+0,5038888888888889+8+600+0,9375+1796+1604870684300+1604870084300
4+2774+61,01783898925781+[1,095;1,123;1,193;1,212]+1,15575+0,5323222222222217+8+600+0,703125+1800+1604870692300+1604870092300
4+2736+49,02497399902344+[1,077;1,115;1,178;1,19]+1,1400000000000001+0,5169444444444443+8+600+0,703125+1820+1604870700300+1604870100300
4+2722+56,95397599792481+[1,078;1,1;1,173;1,185]+1,134+0,5652777777777782+8+600+0,703125+1828+1604870708300+1604870108300
4+2690+55,37113999938965+[1,063;1,082;1,165;1,173]+1,1207500000000001+0,5780555555555554+8+600+0,703125+1848+1604870716300+1604870116300
4+2672+55,370001998901365+[1,065;1,073;1,155;1,16]+1,11325+0,5419444444444448+8+600+0,52734375+1860+1604870724300+1604870124300
4+2644+60,00316200256348+[1,052;1,073;1,135;1,147]+1,10175+0,5630555555555552+8+600+0,52734375+1880+1604870732300+1604870132300
4+2613+56,13242401123047+[1,027;1,062;1,13;1,137]+1,089+0,555277777777778+8+600+0,52734375+1924+1604870740300+1604870140300
4+2593+58,17046598815918+[1,023;1,057;1,118;1,123]+1,0802500000000002+0,4994444444444445+8+600+0,52734375+1944+1604870748300+1604870148300
4+2566+52,25654600524902+[1,013;1,045;1,11;1,108]+1,069+0,49944444444444425+8+600+0,52734375+1964+1604870756300+1604870156300
4+2540+53,97625401306152+[1;1,025;1,1;1,108]+1,0582500000000001+0,49916666666666665+8+600+0,52734375+2004+1604870764300+1604870164300
4+2514+53,82406201171875+[0,988;1,02;1,085;1,097]+1,0474999999999999+0,5294444444444444+8+600+0,52734375+2024+1604870772300+1604870172300
4+2471+252,11929100036622+[0,97;0,998;1,068;1,082]+1,0295+0,5472077777777774+8+600+0,52734375+2068+1604870780300+1604870180300
4+2448+58,59096099853516+[0,958;0,993;1,055;1,073]+1,0197500000000002+0,5676719444444444+8+600+0,52734375+2092+1604870788300+1604870188300
4+2421+60,59532398986816+[0,957;0,975;1,045;1,058]+1,00875+0,5386111111111113+8+600+0,52734375+2112+1604870796300+1604870196300
4+2373+59,28025399780273+[0,942;0,95;1,027;1,037]+0,9889999999999999+0,5616666666666668+8+600+0,52734375+2152+1604870804300+1604870204300
4+2356+250,3683450012207+[0,928;0,947;1,022;1,03]+0,9817500000000001+0,5555555555555554+8+600+0,52734375+2172+1604870812300+1604870212300
4+2328+56,49084300231934+[0,927;0,94;0,995;1,018]+0,97+0,6030555555555559+8+600+0,52734375+2196+1604870820300+1604870220300
4+2293+63,3721309967041+[0,908;0,917;0,992;1,005]+0,9555+0,5559611111111115+8+600+0,6591796875+2232+1604870828300+1604870228300
4+2272+64,07075399780274+[0,903;0,918;0,983;0,982]+0,9465000000000001+0,5731522222222227+8+600+0,6591796875+2244+1604870836300+1604870236300
4+2246+58,93689099121094+[0,888;0,903;0,977;0,975]+0,93575+0,5570330555555554+8+600+0,6591796875+2256+1604870844300+1604870244300
