NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+2899+56,764600999832155+[1,21;1,182;1,178;1,262]+1,208+8+600+3,814697265625+690
4+2917+56,764600999832155+[1,217;1,197;1,178;1,27]+1,2155+8+600+3,814697265625+690
4+2881+56,764600999832155+[1,19;1,175;1,168;1,268]+1,20025+8+600+3,814697265625+690
4+2716+41,82552199935913+[1,123;1,115;1,09;1,198]+1,1315+8+600+3,814697265625+663
4+2729+41,82552199935913+[1,117;1,12;1,102;1,21]+1,13725+8+600+3,814697265625+663
4+2651+41,82552199935913+[1,093;1,077;1,067;1,182]+1,1047500000000001+8+600+3,814697265625+663
4+2534+40,86918400001526+[1,053;1,037;1,023;1,11]+1,05575+8+600+3,814697265625+640
4+2553+40,86918400001526+[1,058;1,043;1,033;1,12]+1,0635+8+600+3,814697265625+640
4+2352+45,06257200050354+[0,978;0,963;0,938;1,04]+0,9797499999999999+8+600+3,814697265625+620
4+2358+45,06257200050354+[0,98;0,965;0,94;1,045]+0,9824999999999999+8+600+3,814697265625+620
4+2366+45,06257200050354+[0,985;0,968;0,94;1,05]+0,9857499999999999+8+600+3,814697265625+620
4+2209+52,37435900020599+[0,907;0,902;0,898;0,975]+0,9205000000000001+8+600+3,814697265625+603
4+2218+52,37435900020599+[0,908;0,903;0,908;0,977]+0,9239999999999999+8+600+3,814697265625+603
4+2220+52,37435900020599+[0,907;0,9;0,91;0,983]+0,925+8+600+3,814697265625+603
4+2097+48,20442899990082+[0,853;0,853;0,845;0,943]+0,8735+8+600+3,814697265625+588
4+2112+48,20442899990082+[0,86;0,857;0,853;0,95]+0,8800000000000001+8+600+3,814697265625+588
4+2105+48,20442899990082+[0,852;0,853;0,843;0,96]+0,877+8+600+3,814697265625+588
4+1975+45,08594699954987+[0,795;0,803;0,813;0,88]+0,82275+8+600+3,814697265625+579
4+1995+45,08594699954987+[0,803;0,818;0,818;0,885]+0,831+8+600+3,814697265625+579
4+1980+45,08594699954987+[0,795;0,81;0,807;0,888]+0,825+8+600+3,814697265625+579
4+1861+42,369656000137326+[0,748;0,745;0,76;0,848]+0,77525+8+600+3,814697265625+567
4+1871+42,369656000137326+[0,75;0,752;0,767;0,85]+0,77975+8+600+3,814697265625+567
4+1842+42,369656000137326+[0,737;0,733;0,755;0,845]+0,7675000000000001+8+600+3,814697265625+567
4+1715+38,30620200061798+[0,678;0,693;0,692;0,795]+0,7144999999999999+8+600+3,814697265625+556
4+1732+38,30620200061798+[0,685;0,703;0,695;0,803]+0,7214999999999999+8+600+3,814697265625+556
4+1686+38,30620200061798+[0,657;0,678;0,685;0,79]+0,7025+8+600+3,814697265625+556
4+1628+46,86861199951172+[0,632;0,658;0,658;0,765]+0,67825+8+600+3,814697265625+551
4+1626+46,86861199951172+[0,63;0,657;0,657;0,767]+0,67775+8+600+3,814697265625+551
4+1508+39,968072999954224+[0,582;0,605;0,622;0,705]+0,6285+8+600+3,814697265625+544
4+1513+39,968072999954224+[0,583;0,608;0,623;0,707]+0,63025+8+600+3,814697265625+544
4+1526+39,968072999954224+[0,59;0,613;0,628;0,712]+0,63575+8+600+3,814697265625+544
4+1417+41,11152400016785+[0,545;0,568;0,587;0,662]+0,5905+8+600+2,86102294921875+540
4+1429+41,11152400016785+[0,55;0,577;0,59;0,665]+0,5955+8+600+2,86102294921875+540
4+1435+41,11152400016785+[0,553;0,58;0,592;0,667]+0,5980000000000001+8+600+2,86102294921875+540
4+1365+42,37784700012207+[0,52;0,55;0,563;0,642]+0,56875+8+600+2,86102294921875+540
4+1380+42,37784700012207+[0,527;0,553;0,573;0,647]+0,575+8+600+2,86102294921875+540
4+1318+47,747149000167845+[0,5;0,532;0,557;0,608]+0,54925+8+600+2,86102294921875+544
4+1326+47,747149000167845+[0,5;0,538;0,557;0,615]+0,5525+8+600+2,86102294921875+544
4+1269+38,21709899997711+[0,478;0,518;0,533;0,585]+0,5285+8+600+2,86102294921875+548
4+1288+38,21709899997711+[0,482;0,53;0,543;0,592]+0,5367500000000001+8+600+2,86102294921875+548
4+1255+40,54228800010681+[0,468;0,515;0,528;0,58]+0,52275+8+600+2,86102294921875+556
4+1268+40,54228800010681+[0,473;0,52;0,538;0,582]+0,52825+8+600+2,86102294921875+556
4+1269+40,54228800010681+[0,475;0,517;0,538;0,585]+0,52875+8+600+2,86102294921875+556
4+1238+43,80313000011444+[0,467;0,497;0,535;0,565]+0,516+8+600+2,86102294921875+560
4+1232+43,80313000011444+[0,457;0,498;0,528;0,57]+0,51325+8+600+2,86102294921875+560
4+1200+52,30152600002289+[0,44;0,488;0,512;0,56]+0,5+8+600+2,1457672119140625+564
4+1200+52,30152600002289+[0,445;0,487;0,515;0,553]+0,5+8+600+2,1457672119140625+564
4+1183+41,66453299999237+[0,435;0,468;0,515;0,553]+0,49275+8+600+2,1457672119140625+573
4+1150+45,87056900024414+[0,423;0,465;0,488;0,54]+0,479+8+600+2,1457672119140625+580
4+1167+45,87056900024414+[0,427;0,472;0,498;0,548]+0,48625+8+600+2,1457672119140625+580
4+1145+40,33465999984741+[0,423;0,458;0,493;0,533]+0,47675+8+600+2,1457672119140625+592
4+1126+40,33465999984741+[0,412;0,452;0,485;0,528]+0,46925+8+600+2,1457672119140625+592
4+1126+42,73678299999237+[0,408;0,458;0,492;0,518]+0,46900000000000003+8+600+2,1457672119140625+600
4+1074+42,69958199977875+[0,39;0,438;0,463;0,498]+0,44725000000000004+8+600+2,1457672119140625+608
4+1079+42,69958199977875+[0,378;0,448;0,462;0,51]+0,4495+8+600+2,1457672119140625+608
4+1056+51,56242099952698+[0,37;0,443;0,448;0,498]+0,43975+8+600+1,6093254089355469+617
4+1048+50,61400500011444+[0,363;0,437;0,453;0,493]+0,4365+8+600+1,6093254089355469+628
4+1028+41,79587799930572+[0,357;0,428;0,448;0,48]+0,42824999999999996+8+600+1,6093254089355469+640
4+1039+41,79587799930572+[0,362;0,43;0,453;0,487]+0,43300000000000005+8+600+1,6093254089355469+640
4+1016+40,59191499996185+[0,36;0,413;0,438;0,482]+0,42324999999999996+8+600+1,6093254089355469+652
4+1013+50,81379199981689+[0,353;0,42;0,425;0,49]+0,422+8+600+1,6093254089355469+661
4+1000+59,89841899967194+[0,352;0,415;0,418;0,482]+0,41674999999999995+8+600+1,6093254089355469+676
4+983+44,206520000457765+[0,343;0,41;0,413;0,472]+0,4095+8+600+1,6093254089355469+685
