NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+2288+69,31675900268554+[0,332;0,316;0,314;0,309]+0,31775+1,5053772222222224+8+1800+1+2780+1604879117046+1604877317046
4+2331+73,95248699951172+[0,338;0,323;0,318;0,315]+0,3235+1,5548230555555547+8+1800+1+2800+1604879125046+1604877325046
4+2372+65,7884280090332+[0,343;0,328;0,325;0,322]+0,3295+1,5398108333333336+8+1800+1+2820+1604879133046+1604877333046
4+2409+69,0801609954834+[0,35;0,333;0,332;0,324]+0,33475000000000005+1,5312855555555553+8+1800+1+2840+1604879141046+1604877341046
4+2439+70,76330599975586+[0,353;0,339;0,336;0,327]+0,33875+1,4908477777777778+8+1800+1+2880+1604879149046+1604877349046
4+2493+75,09323399353028+[0,36;0,346;0,343;0,336]+0,34625+1,4945469444444446+8+1800+1+2900+1604879157046+1604877357046
4+2529+73,67340299987794+[0,366;0,351;0,347;0,342]+0,35150000000000003+1,5042833333333343+8+1800+1+2920+1604879165046+1604877365046
4+2565+69,93754800415039+[0,371;0,354;0,355;0,346]+0,35650000000000004+1,5627344444444444+8+1800+1+2960+1604879173046+1604877373046
4+2594+71,53224099731446+[0,374;0,359;0,357;0,35]+0,36+1,6010502777777769+8+1800+1+2980+1604879181046+1604877381046
4+2639+71,6867740020752+[0,381;0,368;0,363;0,354]+0,36650000000000005+1,647288333333334+8+1800+1+3000+1604879189046+1604877389046
4+2675+74,95731098937988+[0,388;0,374;0,365;0,359]+0,3715+1,6572063888888888+8+1800+1+3040+1604879197046+1604877397046
4+2720+81,90893099975585+[0,394;0,379;0,374;0,364]+0,37775000000000003+1,6519466666666667+8+1800+1+3060+1604879205046+1604877405046
