NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+0+21,032827001571654+[0;0;0;0]+0+8+1800+1+20
4+1080+85,32823299980164+[0,576;0,569;0,67;0,715]+0,6325+8+426,75+1+1456
4+1058+87,63780300140381+[0,572;0,555;0,644;0,708]+0,61975+8+426,75+1+1456
4+1021+76,81623700141907+[0,553;0,537;0,616;0,687]+0,59825+8+426,75+1+1456
4+995+77,06330399894715+[0,541;0,523;0,602;0,665]+0,58275+8+426,75+1+1456
4+960+83,26870800018311+[0,516;0,501;0,591;0,642]+0,5625+8+426,75+1+1456
4+921+72,25793400001525+[0,487;0,478;0,579;0,614]+0,5395+8+426,75+1+1456
4+912+81,80237000083923+[0,483;0,476;0,569;0,609]+0,53425+8+426,75+1+1456
4+874+75,83393099975586+[0,471;0,443;0,541;0,593]+0,512+8+426,75+1+1456
4+842+79,13581699943542+[0,445;0,431;0,52;0,576]+0,493+8+426,75+1+1456
4+825+81,90181100082397+[0,443;0,429;0,506;0,555]+0,48325000000000007+8+426,75+1+1456
4+808+74,65219000053406+[0,436;0,426;0,49;0,541]+0,47324999999999995+8+426,75+1+1456
4+785+76,13119099998474+[0,441;0,41;0,473;0,516]+0,45999999999999996+8+426,75+1+1456
4+778+74,90679400062561+[0,443;0,41;0,48;0,49]+0,45575+8+426,75+1+1456
4+760+83,61810899925231+[0,434;0,401;0,469;0,478]+0,44549999999999995+8+426,75+1+1456
4+751+82,3371219997406+[0,431;0,401;0,459;0,469]+0,44000000000000006+8+426,75+1+1456
4+751+73,11119300079346+[0,441;0,401;0,452;0,466]+0,44+8+426,75+1+1456
4+743+72,1661219997406+[0,431;0,403;0,441;0,466]+0,43525+8+426,75+1+1456
4+741+77,66101399993896+[0,436;0,41;0,438;0,452]+0,434+8+426,75+1+1456
4+740+77,21287400054932+[0,438;0,405;0,441;0,45]+0,4335+8+426,75+1+1456
4+743+81,43255800056457+[0,441;0,408;0,455;0,438]+0,4355+8+426,75+1+1456
4+736+78,38681599998475+[0,431;0,408;0,448;0,438]+0,43124999999999997+8+426,75+1+1456
4+744+82,47084299850464+[0,443;0,408;0,445;0,448]+0,436+8+426,75+1+1456
4+746+82,52750100135803+[0,441;0,41;0,455;0,443]+0,43725+8+426,75+1+1456
4+744+81,12290299987794+[0,441;0,412;0,452;0,438]+0,43574999999999997+8+426,75+1+1456
4+747+76,47793899917602+[0,448;0,412;0,452;0,438]+0,4375+8+426,75+1+1456
4+744+72,75599200057984+[0,438;0,415;0,452;0,438]+0,43574999999999997+8+426,75+1+1456
4+748+72,44446099853516+[0,436;0,422;0,455;0,441]+0,4385+8+426,75+1+1456
4+750+77,61286100006103+[0,443;0,422;0,45;0,443]+0,4395+8+426,75+1+1456
4+749+76,97211100006103+[0,441;0,417;0,462;0,436]+0,439+8+426,75+1+1456
4+748+86,8227409992218+[0,443;0,412;0,462;0,436]+0,43825+8+426,75+1+1456
4+745+77,41353100013733+[0,438;0,412;0,464;0,431]+0,43625+8+426,75+1+1456
4+737+74,11942700004577+[0,429;0,412;0,445;0,441]+0,43175+8+426,75+1+1456
4+734+83,59694400024414+[0,419;0,41;0,443;0,448]+0,43+8+426,75+1+1456
4+733+74,82007199859619+[0,419;0,415;0,443;0,441]+0,4295+8+426,75+1+1456
4+718+78,24425+[0,405;0,403;0,438;0,436]+0,4205+8+426,75+1+1456
